ITE_ITEM_TITLE1,ITE_ITEM_TITLE2,Score_Similitud
zapatillas de hombre ligeras y transpirables-21907,zapatillas de hombre ligeras y transpirables-20331,0.9483
tenis sapatenis casual feminina chiqui 7890263,tenis sapatenis casual feminina chiqui 7890330,0.9482
tenis mizuno wave prophecy 6 - ref***000017,tenis mizuno wave prophecy 6 - ref***0000057,0.948
tenis all star chuck taylor prata - serie limitada,tenis all star chuck taylor lilas prata - serie limitada,0.9473
tenis new balance preto,tenis new balance wl515rfa,0.947
tenis infantil tenis feminino promocao brinde bolsa b promoc,tenis infantil tenis feminino promocao brinde bolsa p o melh,0.9467
tenis bebece t1334-392,tenis bebece,0.9453
tenis infantil tenis feminino promocao brinde bolsa u casual,tenis infantil tenis feminino promocao brinde bolsa p o melh,0.944
tenis corrida mizuno wave creation 22 masculino azul,tenis corrida mizuno wave creation 22 masculino azul marinho,0.9435
tenis infantil tenis feminino promocao brinde bolsa l adquir,tenis infantil tenis feminino promocao brinde bolsa u plataf,0.9425
sapatenis masculino tommy match point 1a azul,sapatenis masculino tommy match point,0.9421
tenis infantil masculino kids e baby m1230,tenis infantil masculino kids e baby m1065,0.9415
tenis infantil tenis infantil feminino brinde bolsa a plataf,tenis infantil tenis infantil feminino brinde bolsa b adquir,0.9411
tenis sapatenis feminino dbmore relogio gold dubuy 024mc,tenis sapatenis feminino dbsmile relogio gold dubuy 311ca,0.9409
tenis skechers go walk evolution ultra impeccable masculino,tenis skechers go walk evolution ultra,0.9408
tenis feminino slip on veroffato 6011002,tenis feminino slip on veroffato 6011003,0.9407
tenis dakota g0521,tenis dakota g0988,0.9404
tenis feminino vizzano 1356101,tenis feminino vizzano 1355101,0.9404
tenis - schutz,tenis schutz.,0.9403
tenis infantil tenis feminino promocao brinde bolsa u plataf,tenis infantil tenis feminino promocao brinde bolsa b promoc,0.9402
tenis converse all star,tenis converse all star skidgrip cvo,0.9377
tenis infantil tenis feminino promocao brinde bolsa u plataf,tenis infantil tenis feminino promocao brinde bolsa u casual,0.9374
tenis infantil feminino ortope 292152-267,tenis infantil feminino ortope 292093-245,0.9371
tenis usthemp one vegano casual estampa libra,tenis usthemp one vegano casual estampa cupcake,0.937
tenis skechers m go walk evolution ultra,tenis skechers go walk evolution ultra impeccable masculino,0.9364
tenis plataforma jeans feminino com ziper-pronta entrega 24h,tenis plataforma jeans feminino com ziper pronta entrega,0.9358
tenis infantil tenis feminino promocao brinde bolsa b sneake,tenis infantil tenis feminino promocao brinde bolsa b promoc,0.9358
mountain bike spaceline vega 2021 aro 29 17 21v freios de disco mecanico cambios indexado y shimano indexado cor preto/cinza,mountain bike spaceline vega 2021 aro 29 17 21v freios de disco mecanico cambios indexado y shimano indexado cor preto/verde,0.9354
bike speed,bike speed 29,0.935
tenis infantil tenis feminino promocao brinde bolsa u plataf,tenis infantil tenis feminino promocao brinde bolsa p o melh,0.9348
tenis chunky dad feminino blogueirinha casual sapatore preto,tenis chunky dad feminino blogueirinha casual sapatore nude,0.9347
bicicleta caloi croos,bicicleta caloi xrt,0.9342
